_date,total_views,unique_views
2020-12-23,10,3
2020-12-24,10,5
2020-12-26,8,1
2020-12-28,4,3
2020-12-29,1,1
2020-12-30,2,2
2020-12-31,2,2
2021-01-01,1,1
2021-01-02,1,1
2021-01-04,46,4
2021-01-05,5,1
2021-01-06,25,3
2021-01-07,66,9
2021-01-08,91,18
2021-01-11,97,5
2021-01-12,598,42
2021-01-13,99,13
2021-01-14,722,65
2021-01-15,3903,128
2021-01-16,299,14
2021-01-17,88,8
2021-01-18,173,9
2021-01-19,50,5
2021-01-20,432,17
2021-01-21,41,10
2021-01-22,256,33
2021-01-23,17,10
2021-01-24,23,5
2021-01-25,400,37
2021-01-26,125,22
2021-01-27,172,12
2021-01-28,6,3
2021-01-29,99,17
2021-01-31,6,6
2021-02-01,76,9
2021-02-02,152,12
2021-02-03,97,18
2021-02-04,138,10
2021-02-05,4,4
2021-02-06,5,2
2021-02-07,14,13
2021-02-08,83,9
2021-02-09,68,15
2021-02-10,110,11
2021-02-11,189,36
2021-02-12,32,11
2021-02-13,7,3
2021-02-14,1,1
2021-02-15,20,4
2021-02-16,97,20
2021-02-17,40,13
2021-02-18,193,21
2021-02-19,119,23
2021-02-20,12,6
2021-02-21,6,5
2021-02-22,131,16
2021-02-23,246,47
2021-02-24,68,14
2021-02-25,144,27
2021-02-26,59,17
2021-02-27,9,5
2021-02-28,20,5
2021-03-01,3,1
